read_code,icd9_code,icd9_code_def
A26z.,0269,1
A27..,027,1
A270.,0270,1
A2700,0270,1
A2701,0270,1
A2702,0270,1
A2703,0270,1
A2704,0270,1
A2705,0270,1
A270z,0270,1
A271.,0271,1
A2710,0271,1
A2711,0271,1
A2712,0271,1
A271z,0271,1
A272.,0272,1
A2720,0272,1
A2721,0272,1
A272z,0272,1
A273.,0278,1
A27y.,0278,1
A27z.,0279,1
A2y..,020-027,2
A2z..,020-027,2
A3...,030-041,2
A30..,030,1
A300.,0300,1
A3000,0303,1
A301.,0301,1
A3010,0303,1
A302.,0302,1
A303.,0303,1
A30y.,0308,1
A30z.,0309,1
A31..,031,1
A310.,0310,1
A311.,0311,1
A31y.,0318,1
A31z.,0319,1
A32..,032,1
A320.,0320,1
A321.,0321,1
A322.,0322,1
A323.,0323,1
A32y.,0328,1
A32y0,0328,1
A32y1,0328,1
A32y2,0328,1
A32y3,0328,1
A32y4,0328,1
A32y5,0328,1
A32yz,0328,1
A32z.,0329,1
A33..,033,1
A330.,0330,1
A331.,0331,1
A33y.,0338,1
A33y0,0338,1
A33yz,0338,1
A33z.,0339,1
A34..,034,1
A340.,0340,1
A3400,0340,1
A3401,0340,1
A3402,0340,1
A3403,0340,1
A340z,0340,1
A341.,0341,1
A34z.,034,1
A35..,035,1
A36..,036,1
A360.,0360D 3205A,7
A361.,0361D 3234A,7
A362.,0362,1
A3620,0362,1
A3621,0362,1
A363.,0363D 2555A,7
A364.,0364D,8
A3640,0364D,8
A3641,0364D 4200A,7
A3642,0364D 4211A,7
A3643,0364D 422A,7
A364z,0364D 4211A,7
A36y.,0368,1
A36y0,0368D 3773A,7
A36y1,0368D 7114A,7
A36yz,0368,1
A36z.,0369,1
A37..,037,1
A370.,670,1
A38..,038,1
A380.,0380,1
A3800,0380,1
A3801,0380,1
A3802,0380,1
A381.,0381,1
A3810,0381,1
A3811,0381,1
A382.,0382,1
A383.,0383,1
A384.,0384,1
A3840,0384,1
A3841,0384,1
A3842,0384,1
A3843,0384,1
A3844,0384,1
A384z,0384,1
A38y.,0388,1
A38z.,0389,1
A39..,039,1
A390.,0390,1
A391.,0391,1
A392.,0392,1
A3921,0392,1
A3922,0392,1
A393.,0393,1
A394.,0394,1
A395.,0398,1
A39y.,0398,1
A39y0,0391,1
A39y1,0390,1
A39z.,0399,1
A39z0,0399,1
A39z1,0399,1
A39zz,0399,1
A3A..,040,1
A3A0.,0400,1
A3A00,0400,1
A3A01,0400,1
A3A02,0400,1
A3A03,0400,1
A3A04,0400,1
A3A05,0400,1
A3A06,0400,1
A3A07,0400,1
A3A08,0400,1
A3A09,0400,1
A3A0A,0400,1
A3A0B,0400,1
A3A0C,0400,1
A3A0D,0400,1
A3A0E,0400,1
A3A0F,0400,1
A3A0z,0400,1
A3A1.,0401,1
A3A2.,0402,1
A3A3.,0403,1
A3A4.,0408,1
A3A40,0418,1
A3A5.,0418,1
A3A6.,7294,1
A3Ay.,0408,1
A3Ay0,0408D 7280A,7
A3Ay1,0408,1
A3Ay2,0408,1
A3Ayz,0408,1
A3B..,041,1
A3B0.,0410,1
A3B1.,0411,1
A3B11,0411,1
A3B2.,0412,1
A3B3.,0413,1
A3B4.,0414,1
A3B5.,0415,1
A3B6.,0416,1
A3B60,0416,1
A3B61,0416,1
A3B6z,0416,1
A3B7.,0417,1
A3Bx.,0410-0419,2
A3BX.,0410-0419,2
A3BX1,0410,1
A3BX2,0410,1
A3BX3,0410,1
A3BX4,0410,1
A3BX5,0410,1
A3BX6,0410,1
A3BX7,0411,1
A3BX8,0411,1
A3BX9,0411,1
A3BXA,0418,1
A3BXB,0413,1
A3BXC,0414,1
A3BXD,0415,1
A3BXE,0416,1
A3BXF,0417,1
A3BXG,0418,1
A3BXH,0400,1
A3By.,0418,1
A3By0,0418,1
A3By1,0418,1
A3By2,0418,1
A3By3,0418,1
A3By4,0418,1
A3By5,0418,1
A3By6,0418,1
A3By7,0418,1
A3By8,0418,1
A3Byz,0418,1
A3Bz.,0419,1
A3y..,030-041,2
A3z..,030-041,2
A4...,045-049,2
A40..,045D 3232A,7
A400.,0450D 3232A,7
A401.,0451D 3232A,7
A402.,0452D 3232A,7
A403.,0451D 3232A,7
A4030,0451D 3232A,7
A4031,0451D 3232A,7
A4032,0451D 3232A,7
A40z.,0459D 3232A,7
A41..,046,1
A410.,0460D 3230A,7
A411.,0461D 3315A,7
A412.,0462D 3231A,7
A413.,0463D 3316A,7
A41y.,0468,1
A41z.,0469,1
A42..,047,1
A420.,0470D 3211A,7
A421.,0471D 3212A,7
A42y.,0478D 3217A,7
A42z.,0479D 3217A,7
A4y..,048,1
A4y0.,0498D 3234A,7
A4y1.,048,1
A4z..,049,1
A4z0.,0490D 3216A,7
A4z1.,0491D 3217A,7
A4zy.,0498,1
A4zy0,0498D 3234A,7
A4zy1,0498D 3234A,7
A4zy2,0498D 3234A,7
A4zy3,0498D 3234A,7
A4zy4,0498D 3234A,7
A4zy5,0491D 3217A,7
A4zyz,0498,1
A4zz.,0499,1
A5...,050-057,2
A50..,050,1
A500.,0500,1
A501.,0501,1
A502.,0502,1
A50z.,0509,1
A51..,051,1
