read_code,icd10_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
13HR.,Z653,G,C,M,0,0
13HV.,Z630,G,C,M,0,0
13HV1,Z630,G,C,M,0,0
13HV2,Z630,G,C,M,0,0
13HV4,Z630,G,C,M,0,0
13I7.,Z653,G,C,M,0,0
13I71,Z653,G,C,M,0,0
13ICZ,Z638,D,C,C,0,0
13ICZ,Z614,R,C,M,0,0
13ICZ,Z615,R,C,M,0,0
13ICZ,Z616,R,C,M,0,0
13IF.,Z618,D,C,M,0,0
13IF.,Z614,A,C,M,0,0
13IF.,Z615,A,C,M,0,0
13IF.,Z616,A,C,M,0,0
13IG.,Z638,G,C,C,0,0
13IJ.,Z622,D,C,M,0,0
13IJ.,F942,R,C,C,0,0
13IJ.,Z611,R,C,M,0,0
13J2.,Z560,G,C,M,0,0
13J7.,Z560,G,C,M,0,0
13J70,Z560,G,C,M,0,0
13J71,Z560,G,C,M,0,0
13J8.,Z566,G,C,M,0,0
13JC.,Z566,G,C,M,0,0
13JE.,Z567,G,C,M,0,0
13JG.,Z566,G,C,M,0,0
13JI.,Z567,D,C,M,0,0
13JI.,Z56,A,M,M,0,0
13JJ.,Z567,G,C,M,0,0
13K1.,Z738,G,C,C,0,0
13K10,Z738,G,C,C,0,0
13K3.,Z596,D,C,M,0,0
13K3.,Z595,A,C,M,0,0
13K4.,Z738,G,C,C,0,0
13L5.,Z848,G,C,M,0,0
13M..,Z634,G,C,M,0,0
13M1.,Z634,G,C,M,0,0
13M2.,Z634,G,C,M,0,0
13M3.,R959,D,C,C,0,0
13M3.,R95,A,M,C,0,0
13M5.,Z634,G,C,M,0,0
13M6.,Z634,G,C,M,0,0
13M7.,Z634,G,C,M,0,0
13M8.,Z634,G,C,M,0,0
13M9.,Z634,G,C,M,0,0
13MA.,Z634,G,C,M,0,0
13MB.,Z818,G,C,M,0,0
13MC.,Z634,G,C,M,0,0
13MD.,Z634,G,C,M,0,0
13VD.,Z592,G,C,M,0,0
13W3.,T749,D,C,P,0,0
13W3.,T74,A,M,P,0,0
13W3.,Z614,R,C,M,0,0
13W3.,Z616,R,C,M,0,0
13W40,Z638,G,C,M,0,0
13W7.,Z653,G,C,M,0,0
13W8.,Z600,G,C,M,0,0
13WC.,Y079,G,C,M,0,0
13WE.,Z633,G,C,M,0,0
13WF1,Z812,G,C,M,0,0
13WF2,Z812,G,C,M,0,0
13WF3,Z812,G,C,M,0,0
13Z1.,Z550,G,C,M,0,0
13Z20,Z558,G,C,M,0,0
13Z3.,F739,D,C,C,0,0
13Z3.,F73,A,M,C,0,0
13Z3.,F70,R,M,C,0,0
13Z3.,F71,R,M,C,0,0
13Z3.,F72,R,M,C,0,0
13Z4C,F69X,G,C,C,0,0
13Z4E,F819,D,C,C,0,0
13Z4E,F81,A,M,C,0,0
13Z4F,Z558,G,C,M,0,0
13Z4K,Z552,G,C,M,0,0
13Z5.,Z559,D,C,M,0,0
13Z5.,Z550,A,C,M,0,0
13Z5.,Z558,A,C,M,0,0
13Z80,Z609,D,C,M,0,0
13Z80,Z60,A,M,M,0,0
13Z81,Z608,G,C,M,0,0
13Z9.,Z559,G,C,M,0,0
141..,Z861,G,C,M,0,0
1411.,Z861,G,C,M,0,0
1412.,Z861,G,C,M,0,0
1413.,Z861,G,C,M,0,0
1414.,Z861,G,C,M,0,0
1416.,Z861,G,C,M,0,0
1417.,Z861,G,C,M,0,0
1418.,Z861,G,C,M,0,0
1419.,Z861,G,C,M,0,0
141A.,Z861,G,C,M,0,0
141B.,Z861,G,C,M,0,0
14250,Z858,G,C,M,0,0
1429.,Z856,G,C,C,0,0
1431.,Z863,G,C,M,0,0
1432.,Z863,G,C,M,0,0
1434.,Z863,G,C,M,0,0
1441.,Z863,G,C,M,0,0
1442.,Z863,G,C,M,0,0
1443.,Z873,G,C,M,0,0
1444.,Z863,G,C,M,0,0
1451.,Z862,G,C,M,0,0
1452.,Z862,G,C,M,0,0
1453.,Z862,G,C,M,0,0
1455.,Z862,G,C,M,0,0
1456.,Z862,G,C,M,0,0
1457.,Z862,G,C,M,0,0
146..,Z865,G,C,M,0,0
1461.,Z865,G,C,M,0,0
1463.,Z864,G,C,M,0,0
1465.,Z865,G,C,M,0,0
1466.,Z865,G,C,M,0,0
1467.,Z865,G,C,M,0,0
1468.,Z914,G,C,M,0,0
1469.,Z865,G,C,M,0,0
146A.,Z915,G,C,M,0,0
1472.,Z866,G,C,M,0,0
1473.,Z866,G,C,M,0,0
1474.,Z866,G,C,M,0,0
1475.,Z866,G,C,M,0,0
1476.,Z866,G,C,M,0,0
148..,Z866,G,C,M,0,0
1481.,Z866,G,C,M,0,0
1482.,Z866,G,C,M,0,0
1483.,Z866,G,C,M,0,0
1484.,Z866,G,C,M,0,0
149..,Z866,G,C,M,0,0
1493.,Z866,G,C,M,0,0
14A1.,Z867,G,C,M,0,0
14A2.,Z867,G,C,M,0,0
14A3.,I252,G,C,C,0,0
14A4.,I252,G,C,C,0,0
14A5.,Z867,G,C,M,0,0
14A6.,Z867,G,C,M,0,0
14A81,Z867,G,C,M,0,0
14A9.,Z867,G,C,M,0,0
14AB.,Z866,G,C,M,0,0
14AC.,Z867,G,C,M,0,0
14AD.,Z867,G,C,M,0,0
14AE.,Z867,G,C,M,0,0
14AF.,Z867,G,C,M,0,0
14B..,Z870,G,C,M,0,0
14B1.,Z870,G,C,M,0,0
14B2.,Z870,G,C,M,0,0
14B4.,Z870,G,C,M,0,0
14B5.,Z870,G,C,M,0,0
14C2.,Z871,G,C,M,0,0
14C3.,Z871,G,C,M,0,0
14C5.,Z871,G,C,M,0,0
14C8.,Z871,G,C,M,0,0
14C9.,Z871,G,C,M,0,0
14CB.,Z860,G,C,M,0,0
14CC.,Z860,G,C,M,0,0
14D1.,Z874,G,C,M,0,0
14D2.,Z874,G,C,M,0,0
14D3.,Z874,G,C,M,0,0
14D4.,Z874,G,C,M,0,0
14D6.,Z874,G,C,M,0,0
14E..,Z874,G,C,M,0,0
14E1.,Z874,G,C,M,0,0
14E2.,Z874,G,C,M,0,0
14E4.,Z920,G,C,M,0,0
14F..,Z872,G,C,M,0,0
14F1.,Z872,G,C,M,0,0
14F2.,Z872,G,C,M,0,0
14G1.,Z873,G,C,M,0,0
14G2.,Z873,G,C,M,0,0
14G4.,Z873,G,C,M,0,0
14H..,Z877,G,C,M,0,0
14H1.,Z877,G,C,M,0,0
14H2.,Z877,G,C,M,0,0
14H3.,Z877,G,C,M,0,0
14H4.,Z877,G,C,M,0,0
14H5.,Z877,G,C,M,0,0
14I..,Z876,G,C,M,0,0
14I1.,Z876,G,C,M,0,0
14I2.,Z876,G,C,M,0,0
14I3.,Z862,G,C,M,0,0
14I4.,Z876,D,C,M,0,0
14I4.,Z866,R,C,M,0,0
14I5.,Z876,G,C,M,0,0
14J..,Z916,G,C,M,0,0
14J1.,Z878,G,C,M,0,0
14K..,Z878,D,C,M,0,0
14K..,Z915,R,C,M,0,0
14L..,Z889,D,C,M,0,0
