DDI2
DCUN1D2
DCXR
DDA1
DDAH1
DDC
DDHD2
DCTPP1
DDR1
DDT
DDX1
DDX25
DDX39A
DCUN1D1
DARS1
DCDC2C
DBH
DBI
DBN1
DBNL
DCBLD2
DCC
DCTN6
DCLRE1C
DCN
DCTD
DCTN1
DCTN2
DDX4
DDX53
DKK4
DHRS4L2
DIABLO
DIPK1C
DIPK2B
DKK1
DKK3
DHODH
DKKL1
DLG4
DLGAP5
DLK1
DLL1
DHPS
DDX58
DEFB4A_DEFB4B
DECR1
DEFA1_DEFA1B
DEFB103A_DEFB103B
DEFB104A_DEFB104B
DEFB116
DEFB118
DGKZ
DENND2B
DENR
DFFA
DGCR6
DGKA
DLL4
DAPP1
CTSC
CTLA4
CTNNA1
CTRB1
CTRC
CTRL
CTSB
CTF1
CTSD
CTSE
CTSF
CTSH
CTSL
CTHRC1
CSH1
CST3
CSNK1D
CSNK2A1
CSPG4
CSPG5
CSRP3
CST1
CTBS
CST5
CST6
CST7
CSTB
CTAG1A_CTAG1B
CTSO
CTSS
CYTH3
CXCL6
CXCL8
CXCL9
CYB5A
CYB5R2
CYP24A1
CXCL3
CYTL1
DAAM1
DAB2
DAG1
DAND5
CXCL5
CTSV
CXCL10
CTSZ
CUZD1
CWC15
CX3CL1
CXADR
CXCL1
CXCL17
CXCL11
CXCL12
CXCL13
CXCL14
CXCL16
DAPK2
DMD
EHD3
EGF
EGFL7
EGFLAM
EGFR
EGLN1
EHBP1
EFNA4
EIF1AX
EIF2AK2
EIF2AK3
EIF2S2
EIF4B
EFNB2
EDA2R
EDNRB
EDAR
EDDM3B
EDEM2
EDF1
EDIL3
EDN1
EFNA1
EEF1D
EFCAB14
EFCAB2
EFEMP1
EFHD1
EIF4E
EIF4EBP1
ENSA
ENOX2
ENPEP
ENPP2
ENPP5
ENPP6
ENPP7
ENO3
ENTPD2
ENTPD5
ENTPD6
ENTR1
EP300
ENOPH1
EIF4G1
ELOA
EIF4G3
EIF5
EIF5A
ELAC1
ELAVL4
ELN
ENO2
ELOB
ENAH
ENDOU
ENG
ENO1
EPB41L5
ECSCR
DOK2
DNMBP
DNPEP
DNPH1
DOC2B
DOCK9
DOK1
DNM1
DPEP1
DPEP2
DPP10
DPP4
DPP6
DNM3
DMP1
DNAJB6
DNAJA1
DNAJA2
DNAJA4
DNAJB1
DNAJB14
DNAJB2
DNLZ
DNAJB8
DNAJC21
DNAJC6
DNAJC9
DNER
DPP7
DPT
EBAG9
DUSP3
DUT
DXO
DYNC1H1
DYNLT1
DYNLT3
DUSP13
EBI3_IL27
ECE1
ECHDC3
ECHS1
ECI2
DUSP29
DPY30
DSG4
DRAXIN
DRG2
DSC2
DSCAM
DSG2
DSG3
DUOX2
DTD1
DTNB
DTX2
DTX3
DTYMK
ECM1
CSF3R
CFHR4
CETN3
CFB
CFC1
CFD
CFH
CFHR2
CES3
CFHR5
CFI
CFP
CGA
CGB3_CGB5_CGB8
CETN2
CENPF
CEP290
CENPJ
CEP112
CEP152
CEP164
CEP170
CEP20
CES2
CEP350
